,里程,总重量,总体积,顺序,最后一点,经过的点,出发时间,充电次数,车型
0,102757,1.8801200000000002,3.6628,0 ->332 -> 458 -> 393 -> 457 -> 480 -> 734 -> 837 -> 2000,837,"[0, 332, 458, 393, 457, 480, 734, 837]",58.0,0,2
0,161508,1.30462,2.4850000000000003,0 ->403 -> 422 -> 302 -> 614 -> 260 -> 372 -> 1042 -> 2000,1042,"[0, 403, 422, 302, 614, 260, 372, 1042]",20.0,1,2
0,111570,1.9100400000000002,5.980200000000001,0 ->445 -> 387 -> 325 -> 569 -> 305 -> 2000,305,"[0, 445, 387, 325, 569, 305]",135.0,0,2
0,163558,1.8704990000000001,3.3772,0 ->449 -> 460 -> 517 -> 597 -> 623 -> 363 -> 375 -> 626 -> 1098 -> 2000,1098,"[0, 449, 460, 517, 597, 623, 363, 375, 626, 1098]",5.0,1,2
0,128435,1.496,2.3902,0 ->534 -> 613 -> 488 -> 622 -> 573 -> 571 -> 496 -> 656 -> 1044 -> 2000,1044,"[0, 534, 613, 488, 622, 573, 571, 496, 656, 1044]",18.0,1,2
0,98664,2.340748,4.0594,0 ->562 -> 410 -> 817 -> 324 -> 648 -> 290 -> 485 -> 2000,485,"[0, 562, 410, 817, 324, 648, 290, 485]",30.0,0,2
0,64682,1.308924,2.6539,0 ->577 -> 423 -> 391 -> 532 -> 544 -> 352 -> 476 -> 2000,476,"[0, 577, 423, 391, 532, 544, 352, 476]",126.0,0,1
0,85119,1.683387,1.9320999999999997,0 ->581 -> 481 -> 479 -> 509 -> 434 -> 2000,434,"[0, 581, 481, 479, 509, 434]",261.92204042568653,0,1
0,108058,1.5335,4.8919999999999995,0 ->606 -> 542 -> 543 -> 380 -> 437 -> 436 -> 360 -> 815 -> 508 -> 2000,508,"[0, 606, 542, 543, 380, 437, 436, 360, 815, 508]",33.0,0,2
0,147479,2.4788580000000002,6.9699,0 ->674 -> 486 -> 286 -> 552 -> 786 -> 451 -> 412 -> 1080 -> 2000,1080,"[0, 674, 486, 286, 552, 786, 451, 412, 1080]",109.0,1,2
0,130990,2.4905699999999995,6.9169,0 ->684 -> 643 -> 634 -> 523 -> 367 -> 1094 -> 2000,1094,"[0, 684, 643, 634, 523, 367, 1094]",1.0,1,2
